품목,등급,단량,단위,평균가
가지(가지(일반)),특(1등            ,5,kg,32851
가지(가지(일반)),상(2등            ,5,kg,28620
가지(가지(일반)),보통(3            ,5,kg,23200
가지(가지(일반)),특(1등            ,5,kg,29667
가지(가지(일반)),상(2등            ,5,kg,25808
가지(가지(일반)),보통(3            ,5,kg,28000
가지(가지(일반)),9등(등            ,5,kg,20000
가지(가지(일반)),특(1등            ,5,kg,30982
가지(가지(일반)),상(2등            ,5,kg,26609
가지(가지(일반)),보통(3            ,5,kg,23167
가지(가지(일반)),특(1등            ,5,kg,28139
가지(가지(일반)),상(2등            ,5,kg,24495
가지(가지(일반)),보통(3            ,5,kg,24833
가지(가지(일반)),특(1등            ,5,kg,26963
가지(가지(일반)),상(2등            ,5,kg,24284
가지(가지(일반)),보통(3            ,5,kg,22875
가지(가지(일반)),특(1등            ,5,kg,24562
가지(가지(일반)),상(2등            ,5,kg,22678
가지(가지(일반)),보통(3            ,5,kg,20619
가지(가지(일반)),특(1등            ,5,kg,25431
가지(가지(일반)),상(2등            ,5,kg,21653
가지(가지(일반)),보통(3            ,5,kg,22571
가지(가지(일반)),특(1등            ,5,kg,23654
가지(가지(일반)),상(2등            ,5,kg,20231
가지(가지(일반)),보통(3            ,5,kg,16130
가지(가지(일반)),특(1등            ,5,kg,22738
가지(가지(일반)),상(2등            ,5,kg,18060
가지(가지(일반)),보통(3            ,5,kg,17929
가지(가지(일반)),9등(등            ,5,kg,18000
가지(가지(일반)),특(1등            ,5,kg,22704
가지(가지(일반)),상(2등            ,5,kg,17204
가지(가지(일반)),보통(3            ,5,kg,13417
가지(가지(일반)),9등(등            ,5,kg,16500
가지(가지(일반)),특(1등            ,5,kg,24301
가지(가지(일반)),상(2등            ,5,kg,20014
가지(가지(일반)),보통(3            ,5,kg,14444
가지(가지(일반)),특(1등            ,5,kg,24111
가지(가지(일반)),상(2등            ,5,kg,18593
가지(가지(일반)),보통(3            ,5,kg,15600
가지(가지(일반)),특(1등            ,5,kg,24411
가지(가지(일반)),상(2등            ,5,kg,19759
가지(가지(일반)),보통(3            ,5,kg,16667
가지(가지(일반)),9등(등            ,5,kg,17000
가지(가지(일반)),특(1등            ,5,kg,24636
가지(가지(일반)),상(2등            ,5,kg,20032
가지(가지(일반)),보통(3            ,5,kg,16286
가지(가지(일반)),특(1등            ,5,kg,26378
가지(가지(일반)),상(2등            ,5,kg,21219
가지(가지(일반)),보통(3            ,5,kg,19444
가지(가지(일반)),특(1등            ,5,kg,26059
가지(가지(일반)),상(2등            ,5,kg,20103
가지(가지(일반)),보통(3            ,5,kg,17538
가지(가지(일반)),특(1등            ,5,kg,25175
가지(가지(일반)),상(2등            ,5,kg,20741
가지(가지(일반)),보통(3            ,5,kg,17000
가지(가지(일반)),특(1등            ,5,kg,24451
가지(가지(일반)),상(2등            ,5,kg,20010
가지(가지(일반)),보통(3            ,5,kg,19571
가지(가지(일반)),특(1등            ,5,kg,23504
가지(가지(일반)),상(2등            ,5,kg,20140
가지(가지(일반)),보통(3            ,5,kg,19778
가지(가지(일반)),특(1등            ,5,kg,23008
가지(가지(일반)),상(2등            ,5,kg,18911
가지(가지(일반)),보통(3            ,5,kg,14889
가지(가지(일반)),특(1등            ,5,kg,20949
가지(가지(일반)),상(2등            ,5,kg,16831
가지(가지(일반)),보통(3            ,5,kg,15286
가지(가지(일반)),9등(등            ,5,kg,19000
가지(가지(일반)),특(1등            ,5,kg,22229
가지(가지(일반)),상(2등            ,5,kg,16536
가지(가지(일반)),보통(3            ,5,kg,16000
가지(가지(일반)),특(1등            ,5,kg,22642
가지(가지(일반)),상(2등            ,5,kg,18953
가지(가지(일반)),보통(3            ,5,kg,13333
가지(가지(일반)),특(1등            ,5,kg,21624
가지(가지(일반)),상(2등            ,5,kg,17238
가지(가지(일반)),보통(3            ,5,kg,15182
가지(가지(일반)),특(1등            ,5,kg,22810
가지(가지(일반)),상(2등            ,5,kg,18543
가지(가지(일반)),보통(3            ,5,kg,11000
가지(가지(일반)),특(1등            ,5,kg,21973
가지(가지(일반)),상(2등            ,5,kg,18181
가지(가지(일반)),보통(3            ,5,kg,13417
가지(가지(일반)),9등(등            ,5,kg,15000
가지(건가지),특(1등            ,1.12,kg,13000
가지(건가지),특(1등            ,0.07,kg,1200
가지(기타),특(1등            ,1,kg,22000
가지(기타),특(1등            ,1,kg,22000
감귤(기타),없음              ,10,kg,30000
감귤(기타),특(1등            ,10,kg,60927
감귤(기타),상(2등            ,3,kg,23940
감귤(기타),특(1등            ,10,kg,68095
감귤(기타),없음              ,5,kg,30000
감귤(기타),특(1등            ,5,kg,50000
감귤(기타),상(2등            ,5,kg,37000
감귤(기타),없음              ,9,kg,30000
감귤(기타),특(1등            ,9,kg,60000
감귤(기타),상(2등            ,10,kg,7000
감귤(기타),상(2등            ,5,kg,35688
감귤(기타),특(1등            ,10,kg,52727
감귤(기타),특(1등            ,3,kg,21507
감귤(기타),없음              ,9,kg,42000
감귤(기타),특(1등            ,9,kg,58933
감귤(기타),특(1등            ,10,kg,28000
감귤(기타),특(1등            ,3,kg,19500
감귤(기타),특(1등            ,5,kg,28304
감귤(기타),특(1등            ,9,kg,62877
감귤(기타),상(2등            ,5,kg,35015
감귤(기타),상(2등            ,5,kg,39306
감귤(기타),상(2등            ,5,kg,36174
감귤(기타),특(1등            ,0.5,kg,4700
감귤(기타),특(1등            ,3,kg,16184
감귤(기타),없음              ,9,kg,30000
감귤(기타),특(1등            ,9,kg,60000
감귤(기타),없음              ,8,kg,18000
감귤(기타),특(1등            ,10,kg,44438
감귤(기타),특(1등            ,5,kg,9340
감귤(기타),특(1등            ,9,kg,37932
감귤(기타),없음              ,9,kg,30000
감귤(기타),특(1등            ,9,kg,55000
감귤(기타),없음              ,9,kg,30000
감귤(기타),특(1등            ,9,kg,55029
감귤(기타),없음              ,10,kg,28000
감귤(기타),특(1등            ,10,kg,59165
감귤(기타),특(1등            ,3,kg,19650
감귤(기타),특(1등            ,9,kg,31000
감귤(기타),특(1등            ,3,kg,19683
감귤(기타),특(1등            ,5,kg,26891
감귤(기타),없음              ,9,kg,40000
감귤(기타),특(1등            ,9,kg,60000
감귤(기타),특(1등            ,10,kg,42156
감귤(레드향),특(1등            ,9,kg,80684
감귤(레드향),특(1등            ,3,kg,15988
감귤(레드향),특(1등            ,5,kg,33605
감귤(레드향),특(1등            ,3,kg,20257
감귤(레드향),특(1등            ,9,kg,75500
감귤(레드향),특(1등            ,3,kg,21320
감귤(레드향),특(1등            ,9,kg,77267
감귤(레드향),특(1등            ,3,kg,20856
감귤(레드향),특(1등            ,9,kg,77150
감귤(레드향),상(2등            ,9,kg,48344
감귤(레드향),상(2등            ,9,kg,49484
감귤(비가림감귤),특(1등            ,5,kg,26738
감귤(비가림감귤),보통(3            ,5,kg,28000
감귤(비가림감귤),특(1등            ,5,kg,17913
감귤(비가림감귤),특(1등            ,5,kg,22126
감귤(비가림감귤),보통(3            ,5,kg,25000
감귤(비가림감귤),상(2등            ,5,kg,28931
감귤(비가림감귤),특(1등            ,5,kg,24744
감귤(비가림감귤),특(1등            ,5,kg,23724
감귤(비가림감귤),상(2등            ,5,kg,33524
감귤(비가림감귤),보통(3            ,5,kg,34532
감귤(비가림감귤),상(2등            ,5,kg,21250
감귤(비가림감귤),특(1등            ,5,kg,42000
감귤(비가림감귤),특(1등            ,5,kg,22067
감귤(비가림감귤),보통(3            ,5,kg,15000
감귤(비가림감귤),특(1등            ,5,kg,19242
감귤(비가림감귤),보통(3            ,5,kg,25500
감귤(비가림감귤),특(1등            ,5,kg,22529
감귤(비가림감귤),보통(3            ,5,kg,25000
감귤(성전),특(1등            ,5,kg,34250
감귤(성전),특(1등            ,5,kg,31722
감귤(성전),상(2등            ,5,kg,18500
감귤(조생귤),특(1등            ,0.5,kg,5600
감귤(조생귤),특(1등            ,3,kg,27968
감귤(조생귤),특(1등            ,5,kg,17133
감귤(조생귤),상(2등            ,5,kg,33000
감귤(조생귤),특(1등            ,5,kg,26889
감귤(천헤향),특(1등            ,3,kg,18349
감귤(천헤향),특(1등            ,5,kg,29663
감귤(천헤향),특(1등            ,9,kg,57206
감귤(천헤향),특(1등            ,0.8,kg,5000
감귤(천헤향),특(1등            ,3,kg,18190
감귤(천헤향),특(1등            ,9,kg,49937
감귤(천헤향),보통(3            ,9,kg,46714
감귤(천헤향),특(1등            ,0.8,kg,5000
감귤(천헤향),특(1등            ,3,kg,16979
감귤(천헤향),특(1등            ,9,kg,47069
감귤(천헤향),보통(3            ,9,kg,38000
감귤(천헤향),특(1등            ,3,kg,19897
감귤(천헤향),특(1등            ,5,kg,15000
감귤(천헤향),특(1등            ,9,kg,48130
감귤(천헤향),특(1등            ,10,kg,65632
감귤(천헤향),특(1등            ,0.8,kg,5100
감귤(천헤향),특(1등            ,3,kg,18531
감귤(천헤향),특(1등            ,5,kg,35000
감귤(천헤향),특(1등            ,9,kg,58537
감귤(천헤향),특(1등            ,10,kg,66000
감귤(천헤향),특(1등            ,0.8,kg,5000
감귤(천헤향),특(1등            ,3,kg,16740
감귤(천헤향),특(1등            ,5,kg,27989
감귤(천헤향),특(1등            ,9,kg,58495
감귤(천헤향),없음              ,0.8,kg,4700
감귤(천헤향),특(1등            ,3,kg,18857
감귤(천헤향),특(1등            ,9,kg,53266
감귤(천헤향),특(1등            ,3,kg,17467
감귤(천헤향),특(1등            ,5,kg,29475
감귤(천헤향),특(1등            ,9,kg,54653
감귤(천헤향),특(1등            ,0.8,kg,5000
감귤(천헤향),특(1등            ,3,kg,18908
감귤(천헤향),특(1등            ,5,kg,28818
감귤(천헤향),특(1등            ,9,kg,60335
감귤(천헤향),특(1등            ,10,kg,59554
감귤(천헤향),보통(3            ,10,kg,48000
감귤(천헤향),특(1등            ,3,kg,19348
감귤(천헤향),특(1등            ,9,kg,59646
감귤(천헤향),특(1등            ,10,kg,69000
감귤(천헤향),특(1등            ,3,kg,20235
감귤(천헤향),특(1등            ,4.5,kg,18000
감귤(천헤향),특(1등            ,5,kg,33000
감귤(천헤향),특(1등            ,9,kg,64000
감귤(천헤향),특(1등            ,0.8,kg,5500
감귤(천헤향),특(1등            ,3,kg,17591
감귤(천헤향),특(1등            ,9,kg,59604
감귤(천헤향),특(1등            ,3,kg,17386
감귤(천헤향),특(1등            ,5,kg,28089
감귤(천헤향),상(2등            ,5,kg,14000
감귤(천헤향),특(1등            ,9,kg,53390
감귤(천헤향),특(1등            ,0.8,kg,5700
감귤(천헤향),특(1등            ,3,kg,18600
감귤(천헤향),특(1등            ,9,kg,56225
감귤(천헤향),특(1등            ,0.8,kg,5500
감귤(천헤향),특(1등            ,3,kg,17478
감귤(천헤향),특(1등            ,9,kg,54340
감귤(천헤향),특(1등            ,0.8,kg,5500
감귤(천헤향),특(1등            ,3,kg,17973
감귤(천헤향),특(1등            ,5,kg,26000
감귤(천헤향),특(1등            ,9,kg,55276
감귤(천헤향),특(1등            ,0.8,kg,5300
감귤(천헤향),특(1등            ,3,kg,17653
감귤(천헤향),특(1등            ,5,kg,28627
감귤(천헤향),특(1등            ,9,kg,54252
감귤(천헤향),보통(3            ,9,kg,42500
감귤(천헤향),특(1등            ,0.8,kg,5000
감귤(천헤향),특(1등            ,3,kg,18294
감귤(천헤향),특(1등            ,5,kg,24469
감귤(천헤향),특(1등            ,9,kg,52990
감귤(천헤향),보통(3            ,9,kg,42669
감귤(천헤향),특(1등            ,0.8,kg,5000
감귤(천헤향),특(1등            ,3,kg,20500
감귤(천헤향),특(1등            ,5,kg,29709
감귤(천헤향),특(1등            ,9,kg,54909
감귤(천헤향),보통(3            ,9,kg,48414
감귤(천헤향),9등(등            ,9,kg,15000
감귤(천헤향),특(1등            ,9,kg,57438
감귤(천헤향),특(1등            ,3,kg,14085
감귤(천헤향),특(1등            ,4.5,kg,20673
감귤(천헤향),특(1등            ,5,kg,23000
감귤(천헤향),특(1등            ,9,kg,58617
감귤(천헤향),특(1등            ,3,kg,23000
감귤(천헤향),특(1등            ,9,kg,50857
감귤(천헤향),보통(3            ,9,kg,48344
감귤(천헤향),특(1등            ,3,kg,19125
감귤(천헤향),특(1등            ,5,kg,24095
감귤(천헤향),특(1등            ,9,kg,53082
감귤(천헤향),특(1등            ,3,kg,19063
감귤(천헤향),특(1등            ,3,kg,20000
감귤(천헤향),특(1등            ,5,kg,32539
감귤(천헤향),특(1등            ,9,kg,47389
감귤(천헤향),특(1등            ,10,kg,58594
감귤(천헤향),특(1등            ,0.8,kg,5000
감귤(천헤향),특(1등            ,3,kg,17303
감귤(천헤향),특(1등            ,9,kg,59835
감귤(카라향),상(2등            ,3,kg,19552
감귤(카라향),상(2등            ,3,kg,20000
감귤(카라향),상(2등            ,3,kg,16475
감귤(카라향),상(2등            ,3,kg,21340
감귤(카라향),상(2등            ,3,kg,17717
감귤(카라향),특(1등            ,5,kg,12405
감귤(카라향),상(2등            ,3,kg,18056
감귤(카라향),특(1등            ,5,kg,18371
감귤(카라향),상(2등            ,3,kg,15306
감귤(하우스감귤),특(1등            ,3,kg,24537
감귤(하우스감귤),특(1등            ,3,kg,26925
감자(기타),특(1등            ,10,kg,18000
감자(기타),특(1등            ,20,kg,35000
감자(기타),특(1등            ,20,kg,45532
감자(기타),상(2등            ,20,kg,22000
감자(기타),4등               ,20,kg,20000
감자(기타),특(1등            ,20,kg,42240
감자(기타),상(2등            ,20,kg,26044
감자(기타),보통(3            ,20,kg,10000
감자(기타),4등               ,20,kg,21281
감자(기타),특(1등            ,20,kg,53810
감자(기타),상(2등            ,20,kg,28282
감자(기타),보통(3            ,20,kg,12000
감자(기타),4등               ,20,kg,25000
감자(기타),특(1등            ,20,kg,35667
감자(기타),상(2등            ,20,kg,15000
감자(기타),보통(3            ,20,kg,10000
감자(기타),특(1등            ,10,kg,13000
감자(기타),특(1등            ,20,kg,43224
감자(기타),상(2등            ,20,kg,20000
감자(기타),9등(등            ,20,kg,4000
감자(기타),특(1등            ,20,kg,41043
감자(기타),상(2등            ,20,kg,29381
감자(기타),보통(3            ,20,kg,10000
감자(기타),4등               ,20,kg,20000
감자(기타),특(1등            ,10,kg,32545
감자(기타),상(2등            ,10,kg,30000
감자(기타),보통(3            ,10,kg,24000
감자(기타),4등               ,10,kg,15000
감자(기타),상(2등            ,20,kg,14000
감자(기타),보통(3            ,20,kg,8000
감자(기타),4등               ,20,kg,15000
감자(기타),상(2등            ,10,kg,29000
감자(기타),보통(3            ,10,kg,25000
감자(기타),4등               ,10,kg,13000
감자(기타),특(1등            ,20,kg,50905
감자(기타),상(2등            ,20,kg,27979
감자(기타),보통(3            ,20,kg,12000
감자(기타),4등               ,20,kg,20000
감자(기타),특(1등            ,10,kg,29929
감자(기타),특(1등            ,20,kg,32477
감자(기타),상(2등            ,20,kg,17250
감자(기타),보통(3            ,20,kg,12000
감자(기타),특(1등            ,10,kg,30000
감자(기타),상(2등            ,10,kg,33000
감자(기타),보통(3            ,10,kg,28000
감자(기타),4등               ,10,kg,16000
감자(기타),특(1등            ,20,kg,55533
감자(기타),상(2등            ,20,kg,40793
감자(기타),4등               ,20,kg,29100
감자(기타),특(1등            ,10,kg,15000
감자(기타),특(1등            ,20,kg,29808
감자(기타),특(1등            ,10,kg,29000
감자(기타),상(2등            ,10,kg,28000
감자(기타),보통(3            ,10,kg,23000
감자(기타),4등               ,10,kg,18000
감자(기타),특(1등            ,10,kg,30542
감자(기타),상(2등            ,10,kg,30000
감자(기타),보통(3            ,10,kg,26000
감자(기타),4등               ,10,kg,18000
감자(기타),특(1등            ,20,kg,44261
감자(기타),상(2등            ,20,kg,34667
감자(기타),보통(3            ,20,kg,20588
감자(기타),4등               ,20,kg,14245
감자(기타),8등               ,20,kg,6000
감자(기타),특(1등            ,14,kg,6000
감자(기타),특(1등            ,10,kg,11500
감자(기타),특(1등            ,10,kg,31040
감자(기타),상(2등            ,10,kg,15000
감자(기타),특(1등            ,20,kg,41714
감자(기타),상(2등            ,20,kg,27000
감자(기타),보통(3            ,20,kg,18000
감자(기타),4등               ,20,kg,23000
감자(기타),특(1등            ,20,kg,14000
감자(대지),특(1등            ,20,kg,39989
감자(대지),보통(3            ,20,kg,12000
감자(대지),9등(등            ,20,kg,18000
감자(대지),없음              ,20,kg,20000
감자(대지),특(1등            ,20,kg,51218
감자(대지),보통(3            ,20,kg,20000
감자(대지),9등(등            ,20,kg,22000
감자(대지),없음              ,20,kg,17000
감자(대지),특(1등            ,20,kg,45121
감자(대지),보통(3            ,20,kg,22703
감자(대지),없음              ,20,kg,14000
감자(대지),특(1등            ,20,kg,54561
감자(대지),보통(3            ,20,kg,25000
감자(대지),없음              ,20,kg,15000
감자(대지),특(1등            ,20,kg,41836
감자(대지),보통(3            ,20,kg,20000
감자(대지),없음              ,20,kg,20000
감자(대지),특(1등            ,20,kg,41265
감자(대지),보통(3            ,20,kg,15000
감자(대지),9등(등            ,20,kg,20000
감자(대지),없음              ,20,kg,20000
감자(대지),특(1등            ,20,kg,38489
감자(대지),보통(3            ,20,kg,13041
감자(대지),9등(등            ,20,kg,22652
감자(대지),없음              ,20,kg,18083
감자(대지),특(1등            ,20,kg,40192
감자(대지),상(2등            ,20,kg,33000
감자(대지),보통(3            ,20,kg,21281
감자(대지),9등(등            ,20,kg,16667
감자(대지),없음              ,20,kg,14000
감자(대지),특(1등            ,20,kg,38417
감자(대지),보통(3            ,20,kg,19000
감자(대지),없음              ,20,kg,16000
감자(대지),특(1등            ,20,kg,47211
감자(대지),보통(3            ,20,kg,24000
감자(대지),없음              ,20,kg,19000
감자(대지),특(1등            ,20,kg,45100
감자(대지),상(2등            ,20,kg,32000
감자(대지),없음              ,20,kg,14000
감자(대지),특(1등            ,20,kg,40785
감자(대지),보통(3            ,20,kg,20000
감자(대지),특(1등            ,20,kg,40660
감자(대지),보통(3            ,20,kg,25778
감자(대지),9등(등            ,20,kg,23000
감자(대지),특(1등            ,20,kg,53000
감자(대지),없음              ,20,kg,9000
감자(대지),특(1등            ,20,kg,38455
감자(대지),보통(3            ,20,kg,19000
감자(대지),9등(등            ,20,kg,20000
감자(대지),없음              ,20,kg,8000
감자(대지),특(1등            ,20,kg,40008
감자(대지),보통(3            ,20,kg,22000
감자(대지),9등(등            ,20,kg,23000
감자(돼지감자),특(1등            ,7,kg,9000
감자(돼지감자),특(1등            ,10,kg,13000
감자(돼지감자),상(2등            ,10,kg,12000
감자(돼지감자),특(1등            ,12,kg,10000
감자(돼지감자),특(1등            ,10,kg,6000
감자(돼지감자),상(2등            ,10,kg,12000
감자(돼지감자),특(1등            ,30,kg,22000
감자(돼지감자),상(2등            ,10,kg,13000
감자(돼지감자),특(1등            ,4,kg,10000
감자(돼지감자),특(1등            ,10,kg,9000
감자(돼지감자),특(1등            ,12,kg,3000
감자(돼지감자),특(1등            ,10,kg,3000
감자(돼지감자),상(2등            ,10,kg,2000
감자(돼지감자),상(2등            ,10,kg,12118
감자(돼지감자),상(2등            ,10,kg,12733
감자(돼지감자),특(1등            ,10,kg,13000
감자(돼지감자),상(2등            ,10,kg,7000
감자(돼지감자),특(1등            ,10,kg,14000
감자(돼지감자),상(2등            ,10,kg,13000
감자(돼지감자),특(1등            ,6,kg,7000
감자(돼지감자),특(1등            ,10,kg,12333
감자(돼지감자),상(2등            ,6,kg,8000
감자(돼지감자),상(2등            ,10,kg,14000
감자(돼지감자),상(2등            ,11,kg,11000
감자(돼지감자),특(1등            ,1,kg,8000
감자(돼지감자),특(1등            ,10,kg,13000
감자(돼지감자),상(2등            ,10,kg,7000
감자(돼지감자),특(1등            ,5,kg,7000
감자(돼지감자),특(1등            ,12,kg,12000
감자(돼지감자),특(1등            ,7.5,kg,6500
감자(돼지감자),상(2등            ,10,kg,9000
감자(돼지감자),특(1등            ,30,kg,18000
감자(두백),특(1등            ,20,kg,35000
감자(두백),보통(3            ,20,kg,30000
감자(두백),특(1등            ,20,kg,33897
감자(두백),특(1등            ,20,kg,28000
감자(두백),특(1등            ,20,kg,31000
감자(두백),특(1등            ,20,kg,39833
감자(두백),상(2등            ,20,kg,33000
감자(두백),보통(3            ,20,kg,32000
감자(두백),특(1등            ,20,kg,36000
감자(수미),상(2등            ,20,kg,26632
감자(수미),상(2등            ,20,kg,31852
감자(수미),상(2등            ,20,kg,31752
감자(수미),보통(3            ,20,kg,16000
감자(수미),상(2등            ,20,kg,31656
감자(수미),보통(3            ,20,kg,16000
감자(수미),특(1등            ,20,kg,27667
감자(수미),상(2등            ,20,kg,30890
감자(수미),보통(3            ,20,kg,16000
감자(수미),상(2등            ,20,kg,26827
감자(수미),상(2등            ,20,kg,34375
감자(수미),보통(3            ,20,kg,15000
감자(수미),상(2등            ,10,kg,31603
감자(수미),상(2등            ,20,kg,31242
감자(수미),없음              ,20,kg,11000
감자(수미),특(1등            ,20,kg,21333
감자(수미),상(2등            ,20,kg,36045
감자(수미),9등(등            ,20,kg,5000
감자(수미),상(2등            ,20,kg,12000
감자(수미),상(2등            ,20,kg,41451
감자(수미),상(2등            ,20,kg,28300
감자(수미),없음              ,20,kg,21000
감자(수미),특(1등            ,20,kg,19857
감자(수미),상(2등            ,20,kg,29440
감자(수미),보통(3            ,20,kg,6000
감자(수미),9등(등            ,20,kg,10000
감자(수미),상(2등            ,10,kg,16182
감자(수미),상(2등            ,20,kg,27094
감자(수미),보통(3            ,20,kg,16000
감자(수미),특(1등            ,0.5,kg,1000
감자(수미),없음              ,20,kg,20000
감자(수미),특(1등            ,20,kg,36579
감자(수미),상(2등            ,20,kg,28438
감자(수미),9등(등            ,20,kg,17000
감자(수미),특(1등            ,10,kg,17968
감자(수미),보통(3            ,10,kg,9095
감자(수미),상(2등            ,20,kg,35152
감자(수미),특(1등            ,10,kg,30000
감자(수미),상(2등            ,10,kg,26000
감자(수미),9등(등            ,10,kg,3000
감자(수미),없음              ,20,kg,13889
감자(수미),특(1등            ,20,kg,30786
감자(수미),상(2등            ,20,kg,31644
감자(수미),특(1등            ,20,kg,37750
감자(수미),상(2등            ,20,kg,21169
감자(수미),보통(3            ,20,kg,15159
감자(수미),상(2등            ,20,kg,22496
감자(수미),보통(3            ,20,kg,16000
감자(수미),상(2등            ,10,kg,14286
감자(수미),특(1등            ,20,kg,38714
감자(수미),상(2등            ,20,kg,36000
감자(수미),없음              ,20,kg,15194
감자(수미),특(1등            ,20,kg,41000
감자(수미),상(2등            ,20,kg,28870
감자(수미),상(2등            ,20,kg,33854
감자(수미),보통(3            ,20,kg,15000
감자(수미),특(1등            ,10,kg,18333
감자(수미),상(2등            ,10,kg,11000
감자(수미),특(1등            ,20,kg,40667
감자(수미),상(2등            ,20,kg,29000
감자(자주감자),상(2등            ,10,kg,14667
감자(자주감자),상(2등            ,10,kg,8000
감자(자주감자),상(2등            ,10,kg,20750
감자(홍감자),특(1등            ,10,kg,17000
갓(갓(일반)),특(1등            ,2,kg,2200
갓(갓(일반)),특(1등            ,4,kg,7000
갓(갓(일반)),특(1등            ,2,kg,2000
갓(갓(일반)),특(1등            ,4,kg,8000
갓(돌갓),특(1등            ,4,kg,8600
갓(돌갓),특(1등            ,4,kg,6350
갓(돌갓),특(1등            ,2,kg,4400
갓(돌갓),특(1등            ,4,kg,7100
갓(돌갓),특(1등            ,4,kg,7200
갓(돌갓),특(1등            ,2,kg,2932
갓(돌갓),특(1등            ,4,kg,6200
갓(돌갓),특(1등            ,4,kg,7300
갓(돌갓),특(1등            ,2,kg,3663
갓(돌갓),특(1등            ,4,kg,6000
갓(돌갓),특(1등            ,2,kg,4736
갓(돌산갓),상(2등            ,2,kg,4272
갓(돌산갓),특(1등            ,4,kg,8378
갓(돌산갓),상(2등            ,4,kg,8500
갓(돌산갓),상(2등            ,2,kg,4000
갓(돌산갓),특(1등            ,4,kg,9667
갓(돌산갓),상(2등            ,4,kg,8000
갓(돌산갓),상(2등            ,2,kg,4640
갓(돌산갓),특(1등            ,4,kg,11000
갓(돌산갓),상(2등            ,4,kg,10000
갓(돌산갓),상(2등            ,2,kg,4500
갓(돌산갓),특(1등            ,4,kg,8150
갓(돌산갓),상(2등            ,4,kg,10000
갓(돌산갓),특(1등            ,4,kg,8100
갓(돌산갓),특(1등            ,2,kg,5300
갓(돌산갓),상(2등            ,2,kg,4500
갓(돌산갓),특(1등            ,2,kg,3067
갓(돌산갓),상(2등            ,2,kg,2500
갓(돌산갓),특(1등            ,2,kg,5700
갓(돌산갓),특(1등            ,4,kg,9867
갓(돌산갓),특(1등            ,4,kg,7000
갓(돌산갓),특(1등            ,4,kg,5000
갓(돌산갓),상(2등            ,2,kg,4644
갓(돌산갓),상(2등            ,2,kg,5500
갓(돌산갓),상(2등            ,2,kg,5250
갓(돌산갓),상(2등            ,4,kg,8000
갓(돌산갓),상(2등            ,4,kg,4000
갓(반청갓),특(1등            ,2,kg,600
갓(반청갓),특(1등            ,1,kg,1600
갓(반청갓),특(1등            ,4,kg,6000
갓(청갓),특(1등            ,2,kg,1500
갓(청갓),특(1등            ,2,kg,700
갓(청갓),상(2등            ,2,kg,500
갓(청갓),특(1등            ,2,kg,1200
갓(청갓),특(1등            ,2,kg,700
갓(청갓),특(1등            ,2,kg,650
갓(청갓),특(1등            ,4,kg,1500
건고추(건고추(수입)),특(1등            ,1,kg,15000
건고추(건고추(수입)),특(1등            ,1,kg,15000
건고추(건고추(일반)),특(1등            ,6,kg,90000
건고추(건고추(일반)),특(1등            ,0.6,kg,7500
건고추(건고추(일반)),특(1등            ,6,kg,100000
건고추(건고추(일반)),상(2등            ,6,kg,90000
건고추(건고추(일반)),보통(3            ,6,kg,42000
건고추(건고추(일반)),특(1등            ,8,kg,128000
건고추(기타),특(1등            ,10,kg,135400
겨자(겨자(일반)),특(1등            ,2,kg,8385
겨자(겨자(일반)),특(1등            ,2,kg,7375
겨자(겨자(일반)),특(1등            ,2,kg,7833
겨자(겨자(일반)),특(1등            ,2,kg,5813
겨자(겨자(일반)),특(1등            ,2,kg,5700
겨자(겨자(일반)),특(1등            ,2,kg,6833
겨자(겨자(일반)),상(2등            ,2,kg,3000
겨자(겨자(일반)),특(1등            ,2,kg,4457
겨자(겨자(일반)),특(1등            ,2,kg,6000
겨자(겨자(일반)),특(1등            ,2,kg,5000
겨자(겨자(일반)),특(1등            ,2,kg,5000
겨자(겨자(일반)),특(1등            ,2,kg,4696
겨자(겨자(일반)),특(1등            ,2,kg,7714
겨자(겨자(일반)),특(1등            ,2,kg,5524
겨자(겨자(일반)),특(1등            ,2,kg,3500
겨자(겨자(일반)),특(1등            ,2,kg,4833
겨자(겨자(일반)),특(1등            ,2,kg,4167
겨자(겨자(일반)),특(1등            ,2,kg,3423
겨자(겨자(일반)),특(1등            ,2,kg,5000
겨자(겨자(일반)),특(1등            ,2,kg,4200
겨자(겨자(일반)),특(1등            ,2,kg,4520
겨자(겨자(일반)),특(1등            ,2,kg,4000
겨자(적겨자),특(1등            ,2,kg,9283
겨자(적겨자),상(2등            ,2,kg,5000
겨자(적겨자),특(1등            ,2,kg,8659
겨자(적겨자),상(2등            ,2,kg,2417
겨자(적겨자),특(1등            ,2,kg,15000
겨자(적겨자),특(1등            ,2,kg,13000
겨자(적겨자),특(1등            ,2,kg,11130
겨자(적겨자),특(1등            ,2,kg,12000
겨자(적겨자),상(2등            ,2,kg,7000
겨자(적겨자),특(1등            ,2,kg,13000
겨자(적겨자),특(1등            ,2,kg,12333
겨자(적겨자),특(1등            ,2,kg,12500
겨자(적겨자),특(1등            ,2,kg,8000
겨자(적겨자),특(1등            ,2,kg,12600
겨자(적겨자),특(1등            ,2,kg,14500
겨자(적겨자),특(1등            ,2,kg,13000
겨자(적겨자),상(2등            ,2,kg,8000
겨자(적겨자),특(1등            ,2,kg,14222
겨자(적겨자),상(2등            ,2,kg,12000
